grid_size,complexity,run,algorithm,iterations,final_avg_utility,env_label
4,0.0,0,value_iteration,848,-4.999015421795402,env_grid4_complex0.0_run0
4,0.0,0,policy_iteration,2,-4.999025267577448,env_grid4_complex0.0_run0
4,0.1,0,value_iteration,1146,95.25603274972896,env_grid4_complex0.1_run0
4,0.1,0,policy_iteration,5,95.25652219175882,env_grid4_complex0.1_run0
4,0.1,1,value_iteration,1132,83.76485623895114,env_grid4_complex0.1_run1
4,0.1,1,policy_iteration,6,83.76507649921669,env_grid4_complex0.1_run1
4,0.1,2,value_iteration,1120,74.72148366075832,env_grid4_complex0.1_run2
4,0.1,2,policy_iteration,4,74.72148090043729,env_grid4_complex0.1_run2
4,0.1,3,value_iteration,1120,74.82783629139185,env_grid4_complex0.1_run3
4,0.1,3,policy_iteration,3,74.82784167270353,env_grid4_complex0.1_run3
4,0.1,4,value_iteration,1146,95.25603274972897,env_grid4_complex0.1_run4
4,0.1,4,policy_iteration,4,95.25635002225296,env_grid4_complex0.1_run4
4,0.1,5,value_iteration,1051,37.88300158554081,env_grid4_complex0.1_run5
4,0.1,5,policy_iteration,4,37.88309324831393,env_grid4_complex0.1_run5
4,0.1,6,value_iteration,1120,74.72148366075832,env_grid4_complex0.1_run6
4,0.1,6,policy_iteration,3,74.72161124407124,env_grid4_complex0.1_run6
4,0.1,7,value_iteration,1120,74.77179382560665,env_grid4_complex0.1_run7
4,0.1,7,policy_iteration,3,74.77179062438005,env_grid4_complex0.1_run7
4,0.1,8,value_iteration,1051,37.88300158554082,env_grid4_complex0.1_run8
4,0.1,8,policy_iteration,6,37.88309268267038,env_grid4_complex0.1_run8
4,0.1,9,value_iteration,1132,83.69172661492225,env_grid4_complex0.1_run9
4,0.1,9,policy_iteration,4,83.69178684348721,env_grid4_complex0.1_run9
4,0.2,0,value_iteration,1146,94.9605541384938,env_grid4_complex0.2_run0
4,0.2,0,policy_iteration,6,94.96150492578894,env_grid4_complex0.2_run0
4,0.2,1,value_iteration,1132,83.3682840540399,env_grid4_complex0.2_run1
4,0.2,1,policy_iteration,7,83.36838096242458,env_grid4_complex0.2_run1
4,0.2,2,value_iteration,1120,74.34382332915484,env_grid4_complex0.2_run2
4,0.2,2,policy_iteration,3,74.34381738493877,env_grid4_complex0.2_run2
4,0.2,3,value_iteration,1120,74.74886704783408,env_grid4_complex0.2_run3
4,0.2,3,policy_iteration,3,74.74886958741324,env_grid4_complex0.2_run3
4,0.2,4,value_iteration,1146,95.1084727555136,env_grid4_complex0.2_run4
4,0.2,4,policy_iteration,5,95.10928625475387,env_grid4_complex0.2_run4
4,0.2,5,value_iteration,1050,37.226935223237845,env_grid4_complex0.2_run5
4,0.2,5,policy_iteration,3,37.22693463242016,env_grid4_complex0.2_run5
4,0.2,6,value_iteration,1108,66.40481213253723,env_grid4_complex0.2_run6
4,0.2,6,policy_iteration,3,66.40481904439163,env_grid4_complex0.2_run6
4,0.2,7,value_iteration,1120,74.6395660856985,env_grid4_complex0.2_run7
4,0.2,7,policy_iteration,3,74.6395667223821,env_grid4_complex0.2_run7
4,0.2,8,value_iteration,1050,37.22693522323786,env_grid4_complex0.2_run8
4,0.2,8,policy_iteration,7,37.22693235926206,env_grid4_complex0.2_run8
4,0.2,9,value_iteration,1132,83.59801312846157,env_grid4_complex0.2_run9
4,0.2,9,policy_iteration,4,83.59804847774595,env_grid4_complex0.2_run9
4,0.3,0,value_iteration,1146,95.74569779389905,env_grid4_complex0.3_run0
4,0.3,0,policy_iteration,6,95.74629661960635,env_grid4_complex0.3_run0
4,0.3,1,value_iteration,1145,95.52241220337298,env_grid4_complex0.3_run1
4,0.3,1,policy_iteration,5,95.5224125783415,env_grid4_complex0.3_run1
