D,W,L,L,L,L,L,L,L,L,L,L,L,W,D,D
R,R,U,L,L,L,L,L,L,L,L,L,L,L,L,D
R,U,U,U,U,U,L,L,L,L,L,L,L,L,L,L
U,U,U,U,U,U,L,L,U,L,L,L,L,L,L,L
R,U,U,U,U,U,L,L,L,U,L,L,L,L,L,L
U,U,U,U,U,U,U,L,L,L,L,L,L,U,L,L
U,U,U,U,U,U,U,U,L,L,L,L,L,L,L,L
U,U,U,U,U,U,U,U,L,L,U,R,L,L,L,L
U,U,U,U,U,U,U,U,U,U,U,U,U,L,L,W
U,U,W,U,U,U,U,U,U,U,W,U,U,U,L,L
U,U,L,U,U,U,W,U,U,U,L,U,U,U,U,U
U,U,U,U,U,U,L,L,U,U,U,U,U,U,L,U
U,U,U,U,U,U,L,U,U,U,U,U,U,U,L,L
U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,L
U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
U,U,U,W,U,U,U,U,W,W,U,U,U,U,L,U
