R,R,D,W,D,W,R,R,U,W,D,L,L,L,L,L
R,R,R,R,R,R,R,U,U,L,L,L,L,W,U,U
R,R,R,R,R,R,U,U,U,U,U,L,L,W,U,U
R,R,U,U,W,U,U,U,U,U,U,L,L,W,D,R
R,U,U,R,R,U,U,U,L,U,U,U,L,L,L,L
W,U,U,R,R,U,U,U,L,L,U,U,U,L,L,L
R,U,U,U,W,U,U,U,W,U,U,U,U,U,L,L
U,U,U,U,R,U,U,U,L,U,U,U,L,U,U,U
U,U,U,U,W,U,U,U,L,U,U,U,L,L,L,U
U,U,R,R,R,U,U,U,U,L,U,U,U,U,L,L
R,U,R,R,U,U,U,U,U,U,U,L,W,U,D,L
U,U,U,U,U,U,U,U,U,W,U,U,R,R,U,L
U,U,U,U,R,U,U,U,U,L,U,U,U,U,U,D
U,U,U,R,R,U,U,U,U,U,W,U,R,R,R,D
R,R,R,R,R,U,U,W,U,U,W,D,W,D,R,D
R,R,R,R,U,U,U,L,U,R,R,R,R,R,R,D
