D,W,L,L,L,L,L,L,L,L,L,L,D,W,D,L
R,R,U,L,U,U,L,L,L,L,L,R,R,U,L,W
R,U,U,U,U,U,U,U,U,L,L,D,D,U,U,L
U,U,U,U,U,U,U,U,U,L,W,D,D,D,L,D
R,U,U,U,U,U,L,U,U,D,D,D,D,D,L,L
U,U,U,U,U,L,L,L,R,R,D,D,D,W,D,D
U,U,U,U,U,U,U,R,R,R,R,D,D,D,D,D
U,U,U,U,U,U,U,D,W,R,R,R,D,D,L,L
U,U,U,U,U,U,R,R,R,R,R,R,D,D,L,W
U,U,W,U,U,R,R,D,D,U,W,D,D,D,W,D
U,U,L,U,R,D,W,D,D,W,R,R,R,R,R,D
U,U,R,R,R,R,R,R,R,R,R,R,R,R,R,D
U,U,R,R,R,R,R,D,W,R,R,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R,R,R,R,R,U,W
R,R,R,R,R,U,R,R,R,R,R,U,U,U,U,L
R,R,U,W,R,R,R,U,W,W,R,U,R,U,U,U
