D,D,D,W,D,W,U,U,U,W,D,L,L,L,L,L
R,R,R,R,R,R,U,U,U,L,L,L,L,W,U,L
R,R,R,R,R,U,U,U,U,U,U,L,L,W,U,D
R,R,R,U,W,U,U,U,L,L,U,L,L,W,R,D
R,R,U,U,R,U,U,U,U,W,U,U,U,L,L,W
W,U,U,U,U,U,U,U,U,L,W,U,U,U,L,L
R,U,U,U,W,U,U,U,W,U,R,U,U,U,L,L
W,U,U,U,R,U,U,U,L,L,L,U,L,U,U,U
R,R,U,U,W,U,U,U,L,L,L,U,U,U,D,D
L,U,U,U,R,U,U,U,U,L,L,U,U,D,D,D
U,U,U,U,U,W,U,L,U,L,L,U,W,D,D,L
U,U,U,U,U,R,U,U,U,W,R,R,R,R,L,L
U,W,U,U,U,W,U,U,U,L,L,R,U,U,W,U
U,W,U,L,R,R,U,U,U,U,W,U,U,U,L,U
U,R,U,R,R,U,U,W,U,U,W,U,W,U,D,D
U,U,U,R,U,U,U,R,U,U,R,R,R,R,R,D
