D,D,D,W,D,W,U,U,U,W,D,L,R,R,D,D
R,R,R,D,D,W,U,U,U,L,L,L,L,W,D,D
R,R,R,R,R,R,U,U,U,D,D,L,D,W,R,D
R,R,R,U,W,U,U,U,D,D,L,L,L,W,W,D
R,R,R,U,R,U,U,R,U,W,U,L,U,L,L,W
W,U,U,U,R,U,U,U,U,L,W,U,L,D,D,D
R,U,U,U,W,U,U,U,W,U,R,U,D,D,L,D
W,R,R,U,R,U,U,U,W,U,R,R,D,D,D,D
R,R,R,U,W,U,U,W,D,D,R,R,D,D,D,D
U,U,U,U,R,U,R,R,R,R,R,R,R,D,D,D
U,U,U,U,L,W,R,U,U,R,R,U,W,D,D,L
U,R,U,U,R,R,R,U,R,W,W,R,R,R,D,W
U,W,U,U,U,W,R,R,R,R,R,R,R,U,W,D
L,W,R,R,R,D,L,R,U,U,W,U,U,U,L,L
U,R,R,D,W,D,W,W,U,U,W,U,W,U,L,D
U,R,R,R,R,U,L,L,U,U,R,R,R,U,L,D
