L,L,L,L,L,L,L,L,L,L,L,L,W,D,L,D
W,U,U,L,W,U,U,L,U,L,R,D,R,D,L,D
R,U,U,W,D,W,U,U,W,D,W,D,W,D,W,D
U,W,U,W,D,R,U,U,R,R,R,R,R,L,L,L
U,R,U,L,L,L,U,D,D,R,D,W,W,W,U,L
D,U,U,U,W,U,W,R,R,R,R,D,L,D,D,D
W,U,U,U,L,L,W,U,W,R,R,R,W,D,L,L
W,U,W,U,U,L,W,U,R,R,R,U,L,L,W,U
R,U,R,U,U,L,R,U,R,R,R,U,L,L,L,L
R,U,L,U,U,U,R,R,R,U,R,U,W,U,L,L
D,U,U,W,U,R,R,R,D,U,W,U,R,U,W,U
L,L,L,L,U,U,W,W,U,W,U,U,W,U,W,W
W,U,U,W,U,W,R,R,U,L,U,R,U,U,L,L
R,U,L,L,L,W,W,U,U,U,R,U,U,U,U,U
R,U,U,L,R,R,R,R,U,U,U,U,U,U,U,L
W,U,U,W,U,U,W,U,R,R,R,U,L,L,W,U
