R,R,R,R,R,R,R,R,R,U,W,D,L,L,W,D,D,W
R,R,R,R,R,R,R,R,U,U,L,L,L,L,L,L,L,L
W,U,R,R,R,R,R,U,U,U,U,L,L,L,L,L,L,L
D,R,R,R,R,R,U,U,U,U,U,U,L,L,U,L,L,L
R,R,R,W,U,U,U,U,U,U,L,U,U,U,U,U,L,U
U,R,U,R,U,U,U,U,U,U,U,U,U,U,U,U,U,U
U,R,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,D
U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,R,D
R,R,D,D,U,U,U,U,U,U,U,U,U,U,U,D,W,D
D,D,D,D,L,R,R,U,U,U,U,L,U,U,R,R,R,D
R,R,D,D,L,D,D,U,U,U,U,L,L,R,R,R,R,D
R,R,R,D,W,D,D,L,U,U,U,W,R,R,R,R,R,R
D,D,W,L,L,L,W,D,U,U,U,L,R,R,R,R,R,U
D,R,R,U,U,L,L,L,L,L,U,R,R,U,R,R,U,U
D,D,D,U,U,L,D,D,L,L,L,L,U,U,U,U,U,U
D,D,D,L,U,D,D,L,L,D,L,L,L,U,U,U,U,U
R,D,L,L,R,R,D,L,L,L,L,W,U,U,R,R,U,U
